;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
280510 PEDRINHAS;-;10;5.572;12;-;-;1.586;7.180;
280520 PINHAO;-;9;2.362;-;-;7;2.052;4.430;
280530 PIRAMBU;-;100;2.824;-;12;-;1.881;4.817;
280540 POCO REDONDO;-;16;4.573;1.023;4;12;14.476;20.104;
280550 POCO VERDE;40;167;9.675;13;24;5;7.690;17.614;
280560 PORTO DA FOLHA;-;21;3.747;3.464;1.905;22;14.303;23.462;
280570 PROPRIA;116;15.805;3.689;1.100;779;134;3.157;24.780;
280580 RIACHAO DO DANTAS;-;756;6.240;243;14;89;9.631;16.973;
280590 RIACHUELO;903;1.669;1.789;737;33;18;2.234;7.383;
280600 RIBEIROPOLIS;-;5;8.618;-;-;2;5.325;13.950;
280610 ROSARIO DO CATETE;-;3.566;808;-;14;-;1.222;5.610;
280620 SALGADO;-;7.254;2.420;146;63;16;6.781;16.680;
280630 SANTA LUZIA DO ITANHY;-;4;2.638;247;5;3;6.975;9.872;
280650 SANTA ROSA DE LIMA;62;196;1.041;14;168;5;1.872;3.358;
280660 SANTO AMARO DAS BROTAS;-;127;7.643;1.031;-;4;1.684;10.489;
280670 SAO CRISTOVAO;13.859;5.387;14.508;418;1.794;50;11.379;47.395;
280680 SAO DOMINGOS;-;12;4.069;3;3;-;3.658;7.745;
280690 SAO FRANCISCO;-;-;818;215;-;-;1.189;2.222;
280700 SAO MIGUEL DO ALEIXO;-;-;557;7;-;-;2.562;3.126;
280710 SIMAO DIAS;8.889;1.988;8.696;750;94;35;11.687;32.139;
280720 SIRIRI;-;1.996;2.129;30;-;-;2.133;6.288;
280730 TELHA;-;8;731;-;-;3;1.463;2.205;
280740 TOBIAS BARRETO;17.789;68;4.819;376;19;15;14.386;37.472;
280750 TOMAR DO GERU;-;24;3.580;3;-;8;7.646;11.261;
280760 UMBAUBA;-;113;11.425;29;22;29;2.821;14.439;
290010 ABAIRA;-;300;4.022;16;16;6;4.356;8.716;
290020 ABARE;-;11;3.252;66;877;4;7.194;11.404;
290030 ACAJUTIBA;-;3.144;5.885;69;31;3;3.707;12.839;
290035 ADUSTINA;-;19;3.352;-;2;10;10.313;13.696;
290040 AGUA FRIA;-;117;1.866;54;24;13;11.997;14.071;
290050 ERICO CARDOSO;-;1.507;15;9;14;19;5.733;7.297;
290060 AIQUARA;2.101;458;932;371;239;14;2.494;6.609;
290070 ALAGOINHAS;-;65.243;11.548;424;14.989;206;24.026;116.436;
290080 ALCOBACA;2.476;1.585;2.721;301;64;15;8.128;15.290;
290090 ALMADINA;57;4.974;1.291;1.526;1.039;2;1.083;9.972;
290100 AMARGOSA;-;2.177;13.349;862;117;40;11.390;27.935;
290110 AMELIA RODRIGUES;-;354;14.227;53;52;33;7.886;22.605;
290115 AMERICA DOURADA;-;208;6.413;17;53;32;9.076;15.799;
290120 ANAGE;-;221;5.049;3.476;66;80;32.634;41.526;
290130 ANDARAI;1.109;289;820;48;54;7;11.907;14.234;
290135 ANDORINHA;-;3.068;280;35;13;6;13.607;17.009;
290140 ANGICAL;-;1.257;3.131;-;31;6;11.599;16.024;
290150 ANGUERA;24;1.561;369;96;16;22;5.761;7.849;
290160 ANTAS;7;-;1.778;17;2.777;29;12.408;17.016;
290170 ANTONIO CARDOSO;-;150;1.790;242;1;16;9.090;11.289;
290180 ANTONIO GONCALVES;-;3.577;1.458;-;14;6;9.016;14.071;
290190 APORA;-;42;6.689;108;3;6;8.871;15.719;
290195 APUAREMA;795;1.257;3.016;159;916;27;1.441;7.611;
290200 ARACATU;-;-;2.279;55;-;11;13.092;15.437;
290205 ARACAS;-;2.853;500;31;22;11;5.489;8.906;
290210 ARACI;221;133;8.046;71;2.575;82;34.144;45.272;
290220 ARAMARI;-;1.205;1.669;188;35;-;4.539;7.636;
290225 ARATACA;305;1.200;5.179;1.440;869;20;4.557;13.570;
290230 ARATUIPE;-;598;1.928;260;38;1;4.984;7.809;
290240 AURELINO LEAL;13;4.546;2.232;787;402;28;7.686;15.694;
290250 BAIANOPOLIS;-;22;2.381;34;13;8;11.291;13.749;
290260 BAIXA GRANDE;20;880;1.365;35;3.756;19;15.551;21.626;
290265 BANZAE;-;2;2.704;9;29;1;8.727;11.472;
290270 BARRA;28;892;10.819;412;414;35;26.478;39.078;
290280 BARRA DA ESTIVA;27;670;983;62;2.655;16;12.759;17.172;
290290 BARRA DO CHOCA;-;57;15.757;137;40;61;8.752;24.804;
290300 BARRA DO MENDES;-;3.528;2.716;30;145;69;7.939;14.427;
290310 BARRA DO ROCHA;-;517;553;368;2.592;30;5.601;9.661;
290320 BARREIRAS;-;2.673;60.894;511;112;431;26.738;91.359;
290323 BARRO ALTO;-;933;2.244;220;131;7;8.484;12.019;
290330 BARRO PRETO;-;4.448;1.802;452;161;12;3.640;10.515;
290340 BELMONTE;-;-;11.164;60;100;15;10.634;21.973;
290350 BELO CAMPO;-;33;5.592;28;60;21;8.536;14.270;
290360 BIRITINGA;-;-;1.901;16;148;-;12.349;14.414;
290370 BOA NOVA;292;812;2.613;171;1.477;-;8.118;13.483;
290380 BOA VISTA DO TUPIM;-;1.594;3.079;471;26;21;11.905;17.096;
290390 BOM JESUS DA LAPA;-;87;29.212;18;41;-;18.996;48.354;
290395 BOM JESUS DA SERRA;-;12;712;3;-;-;9.483;10.210;
290400 BONINAL;-;12;3.162;-;34;4;10.349;13.561;
290405 BONITO;-;3;5.009;37;15;-;5.950;11.014;
290410 BOQUIRA;-;50;6.661;227;10;45;12.425;19.418;
290420 BOTUPORA;-;1.316;138;12;5;19;8.727;10.217;
290430 BREJOES;-;1.647;4.485;797;522;-;5.578;13.029;
290440 BREJOLANDIA;-;5;4.297;-;-;-;6.944;11.246;
290450 BROTAS DE MACAUBAS;-;20;2.565;1.074;-;-;10.573;14.232;
290460 BRUMADO;1.571;16.196;7.324;271;10.471;252;20.950;57.035;
290470 BUERAREMA;22;121;3.977;509;9.862;14;6.238;20.743;
290475 BURITIRAMA;-;200;1.342;-;29;-;10.939;12.510;
290480 CAATIBA;-;98;787;781;2.158;11;5.861;9.696;
290485 CABACEIRAS DO PARAGUACU;-;291;5.684;6;466;5;8.068;14.520;
290490 CACHOEIRA;269;231;4.762;785;8.953;16;12.728;27.744;
290500 CACULE;-;5.519;4.553;406;238;30;6.884;17.630;
290510 CAEM;-;4.389;265;10;3;11;12.407;17.085;
290515 CAETANOS;-;-;772;19;2;7;9.831;10.631;
290520 CAETITE;554;9.432;5.287;154;140;289;24.338;40.194;
290530 CAFARNAUM;-;17;5.556;115;-;5;7.942;13.635;
290540 CAIRU;30;617;1.943;288;825;38;10.762;14.503;
290550 CALDEIRAO GRANDE;-;1.984;2.834;11;8;11;10.936;15.784;
290560 CAMACAN;447;2.747;5.477;3.506;16.528;137;8.053;36.895;
290570 CAMACARI;-;61.584;28.213;1.561;1.185;685;19.896;113.124;
290580 CAMAMU;90;1.535;3.241;1.217;5.277;142;21.223;32.725;
290590 CAMPO ALEGRE DE LOURDES;-;28;4.105;111;-;24;21.766;26.034;
290600 CAMPO FORMOSO;-;5.863;16.216;258;40;45;39.519;61.941;
290610 CANAPOLIS;10;-;2.689;9;-;-;6.734;9.442;
290620 CANARANA;-;7.006;829;69;5;-;14.497;22.406;
290630 CANAVIEIRAS;-;1.152;13.805;934;718;61;16.172;32.842;
290640 CANDEAL;-;1.268;1.063;33;-;-;8.331;10.695;
290650 CANDEIAS;502;17.706;15.208;5.015;12.790;388;16.031;67.640;
290660 CANDIBA;-;4;6.325;-;-;-;6.275;12.604;
290670 CANDIDO SALES;-;233;12.686;300;104;24;10.139;23.486;
290680 CANSANCAO;-;3.041;1.863;278;267;172;25.233;30.854;
290682 CANUDOS;-;-;3.850;-;19;7;9.839;13.715;
290685 CAPELA DO ALTO ALEGRE;-;36;2.809;75;22;3;14.191;17.136;
290687 CAPIM GROSSO;-;4.976;6.830;81;11;7;7.661;19.566;
290689 CARAIBAS;-;9;1.104;5;12;15;15.933;17.078;
290690 CARAVELAS;68;2.975;8.030;1.241;255;38;7.110;19.717;
290700 CARDEAL DA SILVA;-;1.105;965;81;17;35;4.174;6.377;
290710 CARINHANHA;-;2.070;8.534;117;33;153;14.563;25.470;
290720 CASA NOVA;100;496;5.149;479;9.593;38;30.830;46.685;
290730 CASTRO ALVES;43;15;2.743;2.035;4.840;8;17.021;26.705;
290740 CATOLANDIA;-;-;958;-;-;-;2.305;3.263;
290750 CATU;942;21.458;6.419;1.451;689;133;12.158;43.250;
290755 CATURAMA;-;-;1.652;171;151;7;7.718;9.699;
290760 CENTRAL;-;36;5.752;119;13;8;8.676;14.604;
290770 CHORROCHO;-;93;2.919;90;16;-;6.414;9.532;
290780 CICERO DANTAS;331;13;7.192;65;2.269;31;17.203;27.104;
290790 CIPO;-;79;7.151;5;12;6;4.970;12.223;
290800 COARACI;241;20.933;4.305;912;735;20;3.786;30.932;
290810 COCOS;-;3.082;2.878;295;-;10;9.686;15.951;
290820 CONCEICAO DA FEIRA;-;284;10.848;119;17;-;4.635;15.903;
290830 CONCEICAO DO ALMEIDA;-;50;10.020;197;93;13;8.078;18.451;
290840 CONCEICAO DO COITE;-;25;20.941;71;141;23;31.047;52.248;
290850 CONCEICAO DO JACUIPE;-;35;17.768;211;-;5;4.795;22.814;
290860 CONDE;-;3.917;1.859;3.830;1.040;3;5.276;15.925;
290870 CONDEUBA;-;2.082;2.779;1.475;56;29;11.408;17.829;
290880 CONTENDAS DO SINCORA;-;883;891;10;18;5;2.946;4.753;
290890 CORACAO DE MARIA;-;10;8.757;301;153;3;12.690;21.914;
290900 CORDEIROS;-;1.363;2.418;35;-;41;6.768;10.625;
290910 CORIBE;-;3.363;2.456;17;86;33;8.103;14.058;
290920 CORONEL JOAO SA;-;-;2.977;49;2;20;14.046;17.094;
290930 CORRENTINA;19;4;10.821;330;35;5;16.747;27.961;
290940 COTEGIPE;-;3;3.440;11;-;15;8.742;12.211;
290950 CRAVOLANDIA;-;614;586;601;262;29;2.608;4.700;
290960 CRISOPOLIS;-;4.481;438;4;9;2;11.735;16.669;
290970 CRISTOPOLIS;-;22;3.987;-;-;5;8.563;12.577;
290980 CRUZ DAS ALMAS;-;52;35.426;972;715;5;8.595;45.765;
290990 CURACA;-;923;8.195;90;90;226;15.181;24.705;
291000 DARIO MEIRA;166;-;2.021;2.037;941;11;8.261;13.437;
291005 DIAS D'AVILA;458;17.610;6.634;586;54;48;5.681;31.071;
291010 DOM BASILIO;-;2.772;165;9;-;12;6.762;9.720;
291020 DOM MACEDO COSTA;-;-;1.057;79;-;87;2.648;3.871;
291030 ELISIO MEDRADO;-;4;3.311;23;18;-;4.439;7.795;
291040 ENCRUZILHADA;-;1.811;5.454;971;356;187;12.430;21.209;
291050 ENTRE RIOS;-;14.934;2.395;770;520;20;9.023;27.662;
291060 ESPLANADA;-;5.312;10.126;121;42;18;7.386;23.005;
291070 EUCLIDES DA CUNHA;42;1;16.316;14;24;13;35.180;51.590;
291072 EUNAPOLIS;-;402;45.227;927;5.971;31;17.652;70.210;
291075 FATIMA;-;30;3.674;-;12;-;13.873;17.589;
291077 FEIRA DA MATA;-;15;1.248;167;-;-;4.880;6.310;
291080 FEIRA DE SANTANA;50.009;128.111;138.727;5.931;6.712;4.370;69.560;403.420;
291085 FILADELFIA;-;38;3.480;14;25;20;13.359;16.936;
291090 FIRMINO ALVES;31;36;671;735;2.417;10;1.594;5.494;
291100 FLORESTA AZUL;65;24;780;2.225;7.144;13;3.666;13.917;
291110 FORMOSA DO RIO PRETO;-;-;4.953;53;-;13;10.345;15.364;
291120 GANDU;21;36;2.677;2.551;13.103;35;7.901;26.324;
291125 GAVIAO;-;4;1.204;244;155;20;5.461;7.088;
291130 GENTIO DO OURO;-;46;2.084;22;2;22;8.894;11.070;
291140 GLORIA;-;16;4.120;278;1.268;14;7.109;12.805;
291150 GONGOGI;18;20;810;518;2.961;12;4.585;8.924;
291160 GOVERNADOR MANGABEIRA;31;340;11.617;10;11;-;5.777;17.786;
291165 GUAJERU;-;3;1.394;230;-;7;6.888;8.522;
291170 GUANAMBI;149;24.374;12.369;3.108;2.341;172;22.747;65.260;
291180 GUARATINGA;-;351;9.605;863;2.212;75;12.231;25.337;
291185 HELIOPOLIS;-;2;3.131;42;525;-;7.666;11.366;
291190 IACU;1.029;3.811;6.793;494;77;71;13.735;26.010;
291200 IBIASSUCE;-;10;4.734;26;9;-;7.071;11.850;
291210 IBICARAI;14.679;1.158;3.437;3.731;2.312;124;4.898;30.339;
291220 IBICOARA;11;3;1.074;1.697;12;13;5.829;8.639;
291230 IBICUI;69;865;825;1.790;5.960;37;5.994;15.540;
291240 IBIPEBA;-;1.497;2.398;479;28;21;12.897;17.320;
291250 IBIPITANGA;-;19;2.626;18;53;25;10.486;13.227;
291260 IBIQUERA;-;414;689;17;11;-;4.689;5.820;
291270 IBIRAPITANGA;550;471;12.508;1.194;1.745;41;10.209;26.718;
291280 IBIRAPUA;4;-;4.050;526;955;-;2.739;8.274;
291290 IBIRATAIA;8;27;3.133;1.010;8.348;31;10.015;22.572;
291300 IBITIARA;-;136;2.482;302;42;31;13.952;16.945;
291310 IBITITA;-;2.324;2.835;5;6;4;11.918;17.092;
291320 IBOTIRAMA;-;399;13.700;38;37;5;9.010;23.189;
291330 ICHU;-;-;3.168;-;6;-;5.400;8.574;
291340 IGAPORA;259;1.309;3.488;71;6;3;8.788;13.924;
291345 IGRAPIUNA;-;1.372;368;220;2.157;15;8.433;12.565;
291350 IGUAI;71;544;2.101;1.511;5.127;54;13.386;22.794;
291360 ILHEUS;437;29.720;54.364;13.294;52.738;1.083;70.790;222.426;
291370 INHAMBUPE;-;6.077;4.004;233;233;5;15.150;25.702;
291380 IPECAETA;-;124;2.019;3;5;4;14.178;16.333;
291390 IPIAU;129;122;3.739;2.282;26.822;66;11.742;44.902;
291400 IPIRA;37;700;3.731;617;13.060;56;44.369;62.570;
291410 IPUPIARA;-;3;4.038;23;-;-;3.947;8.011;
291420 IRAJUBA;-;2;2.745;92;27;18;3.462;6.346;
291430 IRAMAIA;-;204;6.971;219;65;40;9.621;17.120;
291440 IRAQUARA;-;22;3.757;9;6;4;13.181;16.979;
291450 IRARA;-;5.247;5.993;41;36;13;12.422;23.752;
291460 IRECE;-;642;34.278;189;114;136;15.009;50.368;
291465 ITABELA;-;106;14.364;447;49;7;5.842;20.815;
291470 ITABERABA;16.337;5.378;8.206;576;224;360;22.312;53.393;
291480 ITABUNA;1.571;13.656;12.222;24.569;102.505;477;29.221;184.221;
291490 ITACARE;10;1.217;2.258;1.308;553;197;12.756;18.299;
291500 ITAETE;151;1.031;2.620;217;-;32;10.186;14.237;
291510 ITAGI;2.811;1.300;1.744;691;1.155;5;6.816;14.522;
291520 ITAGIBA;14;511;3.032;990;6.307;37;8.885;19.776;
291530 ITAGIMIRIM;-;186;1.865;388;2.683;15;2.716;7.853;
291535 ITAGUACU DA BAHIA;-;-;1.907;-;-;9;15.198;17.114;
291540 ITAJU DO COLONIA;3.501;348;1.332;385;96;17;4.069;9.748;
291550 ITAJUIPE;-;12.708;2.954;916;965;108;7.170;24.821;
291560 ITAMARAJU;134;3.965;28.980;1.538;13.630;56;15.790;64.093;
291570 ITAMARI;159;147;1.766;158;2.337;22;4.177;8.766;
291580 ITAMBE;13.145;875;1.103;634;610;39;7.389;23.795;
291590 ITANAGRA;-;-;1.714;5;29;-;3.722;5.470;
291600 ITANHEM;90;398;5.504;519;7.693;20;8.963;23.187;
291610 ITAPARICA;-;4.751;5.926;125;109;53;3.820;14.784;
291620 ITAPE;917;1.581;3.437;1.055;1.099;52;7.457;15.598;
291630 ITAPEBI;-;341;3.896;397;537;87;5.762;11.020;
291640 ITAPETINGA;331;141;1.788;1.093;44.185;316;5.340;53.194;
291650 ITAPICURU;-;30;5.094;98;35;11;19.558;24.826;
291660 ITAPITANGA;-;-;1.123;978;4.064;-;4.224;10.389;
291670 ITAQUARA;-;767;1.065;338;272;-;4.728;7.170;
291680 ITARANTIM;52;79;2.163;742;7.564;40;6.539;17.179;
291685 ITATIM;-;7;4.409;414;-;-;5.183;10.013;
291690 ITIRUCU;-;103;9.098;348;129;9;2.926;12.613;
291700 ITIUBA;-;4.658;2.460;292;23;65;26.856;34.354;
291710 ITORORO;23;94;671;2.755;12.529;70;4.304;20.446;
291720 ITUACU;-;988;2.857;182;20;-;12.027;16.074;
291730 ITUBERA;12;187;1.537;204;6.981;16;11.572;20.509;
291733 IUIU;-;774;3.389;132;20;38;5.902;10.255;
291735 JABORANDI;-;161;2.507;296;27;7;8.629;11.627;
291740 JACARACI;-;54;6.155;39;57;19;7.588;13.912;
291750 JACOBINA;-;34.952;10.550;183;36;473;30.102;76.296;
291760 JAGUAQUARA;-;2.783;19.281;706;2.405;18;14.003;39.196;
291770 JAGUARARI;-;1.985;8.791;285;1.410;26;18.529;31.026;
291780 JAGUARIPE;-;976;3.454;196;13;5;9.178;13.822;
291790 JANDAIRA;-;7;1.998;23;-;6;6.176;8.210;
291800 JEQUIE;56.691;4.339;11.950;25.494;4.985;193;40.385;144.037;
291810 JEREMOABO;151;5.949;3.644;98;95;3;28.462;38.402;
291820 JIQUIRICA;218;435;707;988;1.823;4;7.524;11.699;
291830 JITAUNA;5.391;430;1.579;363;413;231;12.371;20.778;
291835 JOAO DOURADO;-;77;8.078;517;7;21;10.149;18.849;
291840 JUAZEIRO;317;22.097;51.920;798;15.394;709;36.534;127.769;
291845 JUCURUCU;-;432;2.849;348;13;-;12.284;15.926;
291850 JUSSARA;-;1.143;3.790;2;-;9;8.919;13.863;
291855 JUSSARI;4.006;31;1.680;194;27;14;2.501;8.453;
291860 JUSSIAPE;-;327;2.817;167;-;4;6.893;10.208;
291870 LAFAIETE COUTINHO;475;111;1.062;44;11;4;3.418;5.125;
291875 LAGOA REAL;-;8;1.115;-;1;27;9.824;10.975;
291880 LAJE;8;621;3.017;1.247;2.629;21;10.730;18.273;
291890 LAJEDAO;-;27;2.109;3;-;-;1.672;3.811;
291900 LAJEDINHO;-;139;1.135;60;-;10;4.747;6.091;
291905 LAJEDO DO TABOCAL;-;16;3.248;936;-;2;2.261;6.463;
291910 LAMARAO;-;-;756;148;620;-;8.751;10.275;
291915 LAPAO;-;506;8.270;57;5;7;11.812;20.657;
291920 LAURO DE FREITAS;-;28.476;20.992;5.791;2.075;947;10.436;68.717;
291930 LENCOIS;1.869;315;774;37;18;14;4.462;7.489;
291940 LICINIO DE ALMEIDA;-;78;7.899;13;14;11;5.972;13.987;
291950 LIVRAMENTO DE NOSSA SENHORA;81;54;10.607;822;2.678;18;19.883;34.143;
291960 MACAJUBA;338;1.484;1.553;28;38;5;7.007;10.453;
291970 MACARANI;112;139;2.422;560;6.692;25;4.065;14.015;
291980 MACAUBAS;-;3.846;8.377;1.203;122;36;20.952;34.536;
291990 MACURURE;-;-;1.046;5;-;17;5.682;6.750;
291992 MADRE DE DEUS;-;4.560;799;610;1.302;109;1.729;9.109;
291995 MAETINGA;-;7;1.118;110;-;-;9.102;10.337;
292000 MAIQUINIQUE;41;139;570;911;3.083;6;3.019;7.769;
292010 MAIRI;327;676;4.860;2.173;62;88;12.519;20.705;
292020 MALHADA;-;45;2.073;1.987;11;13;10.902;15.031;
292030 MALHADA DE PEDRAS;-;5;1.305;7;12;-;5.907;7.236;
292040 MANOEL VITORINO;-;2.128;2.040;2.773;93;-;9.913;16.947;
292045 MANSIDAO;-;2;2.683;4;-;-;7.588;10.277;
292050 MARACAS;-;17;13.449;37;16;20;13.545;27.084;
292060 MARAGOGIPE;2.452;2.426;1.781;1.026;7.009;105;23.805;38.604;
292070 MARAU;-;1.135;1.846;475;352;41;13.553;17.402;
292080 MARCIONILIO SOUZA;-;1.185;1.992;692;480;36;9.269;13.654;
292090 MASCOTE;1.880;1.494;8.351;247;93;56;7.907;20.028;
292100 MATA DE SAO JOAO;1.889;9.171;5.988;1.844;206;197;11.029;30.324;
292105 MATINA;-;8;1.320;-;-;6;7.639;8.973;
292110 MEDEIROS NETO;79;52;9.696;743;7.335;32;5.070;23.007;
292120 MIGUEL CALMON;-;2.608;1.960;333;3.565;28;16.657;25.151;
292130 MILAGRES;-;2.435;1.482;676;7;15;4.645;9.260;
292140 MIRANGABA;-;419;2.253;220;8;-;11.700;14.600;
292145 MIRANTE;-;290;448;109;-;5;7.307;8.159;
292150 MONTE SANTO;-;391;3.956;84;48;41;46.633;51.153;
292160 MORPARA;-;-;2.861;-;5;4;4.506;7.376;
292170 MORRO DO CHAPEU;-;56;12.254;68;76;10;19.251;31.715;
292180 MORTUGABA;-;6;7.274;-;11;-;5.603;12.894;
292190 MUCUGE;13;-;1.948;502;-;6;7.792;10.261;
292200 MUCURI;-;528;11.341;146;147;11;5.094;17.267;
292205 MULUNGU DO MORRO;-;45;2.297;1.532;39;73;9.715;13.701;
292210 MUNDO NOVO;77;584;11.491;2.257;798;15;15.561;30.783;
292220 MUNIZ FERREIRA;-;348;633;949;522;36;3.779;6.267;
292225 MUQUEM DE SAO FRANCISCO;-;103;1.152;8;-;-;6.758;8.021;
292230 MURITIBA;1.210;22;13.655;115;22;9;9.442;24.475;
292240 MUTUIPE;321;1.657;1.468;1.624;3.911;30;11.313;20.324;
292250 NAZARE;33;2.381;1.441;1.223;11.899;45;8.764;25.786;
292260 NILO PECANHA;6;115;556;443;2.091;44;8.994;12.249;
292265 NORDESTINA;7;15;854;7;-;16;8.337;9.236;
292270 NOVA CANAA;20;180;1.673;643;3.282;21;7.933;13.752;
292273 NOVA FATIMA;-;2.000;374;-;19;8;8.018;10.419;
292275 NOVA IBIA;-;11;590;3.192;11;16;6.650;10.470;
292280 NOVA ITARANA;-;-;2.553;164;17;-;3.854;6.588;
292285 NOVA REDENCAO;-;741;2.372;130;16;8;6.995;10.262;
292290 NOVA SOURE;-;25;10.440;53;26;6;14.026;24.576;
292300 NOVA VICOSA;15;1.097;14.171;977;1.084;5;7.966;25.315;
292303 NOVO HORIZONTE;-;6;1.563;48;-;13;8.520;10.150;
292305 NOVO TRIUNFO;25;-;1.370;73;2;5;9.549;11.024;
292310 OLINDINA;-;6.221;3.350;221;9;15;11.569;21.385;
292320 OLIVEIRA DOS BREJINHOS;-;1;4.992;-;15;-;16.002;21.010;
292330 OURICANGAS;-;9;1.542;30;11;-;5.451;7.043;
292335 OUROLANDIA;-;-;2.867;30;10;3;9.313;12.223;
292340 PALMAS DE MONTE ALTO;-;3.965;1.236;-;18;26;15.163;20.408;
292350 PALMEIRAS;1;20;2.723;83;11;6;4.218;7.062;
292360 PARAMIRIM;-;1.046;5.601;715;42;4;15.113;22.521;
292370 PARATINGA;-;35;6.051;-;14;36;18.003;24.139;
292380 PARIPIRANGA;-;10;14.343;-;5;-;11.632;25.990;
292390 PAU BRASIL;2.676;202;3.037;1.047;2.584;90;6.286;15.922;
292400 PAULO AFONSO;246;185;11.310;4.256;52.254;125;17.952;86.328;
292405 PE DE SERRA;-;1.777;538;-;9;43;14.675;17.042;
292410 PEDRAO;-;41;2.298;44;135;16;4.256;6.790;
292420 PEDRO ALEXANDRE;-;240;1.495;39;6;9;13.002;14.791;
292430 PIATA;-;66;4.293;211;17;28;13.663;18.278;
292440 PILAO ARCADO;-;2.293;473;8;5;21;29.001;31.801;
292450 PINDAI;-;697;2.844;111;23;22;12.824;16.521;
292460 PINDOBACU;-;6.239;996;10;22;11;16.736;24.014;
292465 PINTADAS;-;641;1.342;5;3;-;8.384;10.375;
292467 PIRAI DO NORTE;-;39;609;530;701;8;11.777;13.664;
292470 PIRIPA;-;75;5.020;13;-;-;5.292;10.400;
292480 PIRITIBA;80;2.294;9.419;354;50;-;11.920;24.117;
292490 PLANALTINO;-;7;3.460;64;9;13;6.757;10.310;
292500 PLANALTO;-;17;7.999;550;34;28;14.750;23.378;
292510 POCOES;111;243;17.572;1.983;4.566;46;13.279;37.800;
292520 POJUCA;72;12.948;2.222;1.100;453;256;5.364;22.415;
292525 PONTO NOVO;-;3.722;924;16;-;8;12.482;17.152;
292530 PORTO SEGURO;-;6.883;10.818;2.340;129;20;13.384;33.574;
292540 POTIRAGUA;83;41;612;235;4.556;48;4.557;10.132;
292550 PRADO;-;6.408;6.166;37;45;1;9.779;22.436;
292560 PRESIDENTE DUTRA;-;3.697;1.589;34;8;16;8.317;13.661;
292570 PRESIDENTE JANIO QUADROS;-;10;1.897;193;21;24;11.955;14.100;
292575 PRESIDENTE TANCREDO NEVES;-;84;2.787;1.660;538;15;13.368;18.452;
292580 QUEIMADAS;11;136;3.679;487;2.886;30;15.817;23.046;
292590 QUIJINGUE;-;1.256;1.103;12;18;5;21.432;23.826;
292593 QUIXABEIRA;-;571;1.818;221;17;2;11.280;13.909;
292595 RAFAEL JAMBEIRO;-;98;3.041;457;242;-;18.552;22.390;
292600 REMANSO;9.573;380;4.724;5;9;26;19.459;34.176;
292610 RETIROLANDIA;-;23;3.387;11;1;66;7.788;11.276;
292620 RIACHAO DAS NEVES;-;10;7.617;-;-;3;12.543;20.173;
292630 RIACHAO DO JACUIPE;9.262;599;3.038;531;92;4;24.030;37.556;
292640 RIACHO DE SANTANA;-;7;7.843;10;-;14;19.335;27.209;
292650 RIBEIRA DO AMPARO;-;12;2.118;17;22;16;11.701;13.886;
292660 RIBEIRA DO POMBAL;28;7;17.561;44;1.043;25;23.484;42.192;
292665 RIBEIRAO DO LARGO;-;598;1.477;201;453;4;8.088;10.821;
292670 RIO DE CONTAS;-;6;6.596;91;29;-;7.324;14.046;
292680 RIO DO ANTONIO;-;2.454;1.748;340;-;-;8.720;13.262;
292690 RIO DO PIRES;-;1.268;1.409;69;6;-;9.306;12.058;
292700 RIO REAL;-;9.510;5.284;121;158;225;12.334;27.632;
292710 RODELAS;-;561;2.622;70;741;4;254;4.252;
292720 RUY BARBOSA;5.806;1.537;5.593;145;1.017;56;15.805;29.959;
292730 SALINAS DA MARGARIDA;-;6;5.665;148;80;-;2.967;8.866;
292740 SALVADOR;455.268;899.995;262.716;126.711;160.435;10.505;142.316;2.057.946;
292750 SANTA BARBARA;-;1.619;2.943;112;9;22;12.014;16.719;
292760 SANTA BRIGIDA;-;15;1.591;1.229;495;39;9.823;13.192;
292770 SANTA CRUZ CABRALIA;-;36;2.797;185;29;4;3.158;6.209;
292780 SANTA CRUZ DA VITORIA;22;20;3.157;526;1.041;9;1.865;6.640;
292790 SANTA INES;-;352;2.870;469;2.958;3;3.354;10.006;
292800 SANTALUZ;88;108;4.508;770;3.720;29;20.936;30.159;
292805 SANTA LUZIA;170;485;2.707;831;3.824;38;7.898;15.953;
292810 SANTA MARIA DA VITORIA;86;12.608;11.097;623;28;31;16.800;41.273;
292820 SANTANA;-;77;13.846;-;-;-;10.670;24.593;
292830 SANTANOPOLIS;-;4;1.936;-;13;-;7.368;9.321;
292840 SANTA RITA DE CASSIA;-;26;8.054;5;17;4;15.013;23.119;
292850 SANTA TERESINHA;-;-;1.814;66;23;3;6.933;8.839;
292860 SANTO AMARO;105;68;9.154;1.990;23.476;49;18.856;53.698;
